Stage,Artist,Start Time,End Time,Date
T-Mobile,Asleep at the Wheel,12:45 PM,1:30 PM,"Friday, October 03"
T-Mobile,Good Neighbours,2:15 PM,3:00 PM,"Friday, October 03"
T-Mobile,King Princess,4:00 PM,5:00 PM,"Friday, October 03"
T-Mobile,Role Model,6:00 PM,7:00 PM,"Friday, October 03"
T-Mobile,Hozier,8:15 PM,9:45 PM,"Friday, October 03"
Miller Lite,Spill Tab,1:30 PM,2:15 PM,"Friday, October 03"
Miller Lite,Jensen McRae,3:00 PM,4:00 PM,"Friday, October 03"
Miller Lite,Finneas & Ashe Present The Favors,5:00 PM,6:00 PM,"Friday, October 03"
Miller Lite,Empire Of The Sun,7:00 PM,8:15 PM,"Friday, October 03"
BMI,LVVRS,1:30 PM,2:15 PM,"Friday, October 03"
BMI,Nicky Youre,3:00 PM,3:45 PM,"Friday, October 03"
BMI,Moody Joody,5:00 PM,6:00 PM,"Friday, October 03"
Beatbox,Honestav,2:00 PM,2:45 PM,"Friday, October 03"
Beatbox,Panda Bear,3:30 PM,4:30 PM,"Friday, October 03"
Beatbox,MJ Lenderman,5:30 PM,6:30 PM,"Friday, October 03"
Tito's Handmade Vodka,The Animeros,1:15 PM,2:00 PM,"Friday, October 03"
Tito's Handmade Vodka,Amble,2:45 PM,3:30 PM,"Friday, October 03"
Tito's Handmade Vodka,Vincent Lima,4:30 PM,5:30 PM,"Friday, October 03"
Tito's Handmade Vodka,Confidence Man,6:30 PM,7:30 PM,"Friday, October 03"
Tito's Handmade Vodka,Silent Disco,8:00 PM,10:00 PM,"Friday, October 03"
Lady Bird,Chance Emerson,2:00 PM,2:45 PM,"Friday, October 03"
Lady Bird,Willow Avalon,3:30 PM,4:30 PM,"Friday, October 03"
Lady Bird,Briscoe,5:30 PM,6:30 PM,"Friday, October 03"
Lady Bird,Dr Dog,7:30 PM,8:30 PM,"Friday, October 03"
American Express,Tiera Kennedy,1:15 PM,2:00 PM,"Friday, October 03"
American Express,Tanner Usrey,2:45 PM,3:30 PM,"Friday, October 03"
American Express,Dylan Gossett,4:30 PM,5:30 PM,"Friday, October 03"
American Express,Cage The Elephant,6:30 PM,7:30 PM,"Friday, October 03"
American Express,Luke Combs,8:30 PM,10:00 PM,"Friday, October 03"
Austin Kiddie Limits,Go Banana Go! & Flula Borg,1:30 PM,2:00 PM,"Friday, October 03"
Austin Kiddie Limits,School of Rock,3:00 PM,3:30 PM,"Friday, October 03"
Austin Kiddie Limits,Q Brothers,5:00 PM,5:30 PM,"Friday, October 03"
T-Mobile,Hotline TNT,12:45 PM,1:30 PM,"Saturday, October 04"
T-Mobile,Spacey Jane,2:15 PM,3:15 PM,"Saturday, October 04"
T-Mobile,Modest Mouse,4:15 PM,5:15 PM,"Saturday, October 04"
T-Mobile,The Backseat Lovers,6:15 PM,7:15 PM,"Saturday, October 04"
T-Mobile,The Strokes,8:15 PM,9:30,"Saturday, October 04"
Miller Lite,Mallrat,1:30 PM,2:15 PM,"Saturday, October 04"
Miller Lite,Ocean Alley,3:15 PM,4:15 PM,"Saturday, October 04"
Miller Lite,Latin Mafia,5:15 PM,6:15 PM,"Saturday, October 04"
Miller Lite,Sammy Virji,7:15 PM,8:15 PM,"Saturday, October 04"
BMI,S.L. Houser,12:15 PM,12:45 PM,"Saturday, October 04"
BMI,Inoha,1:30 PM,2:15 PM,"Saturday, October 04"
BMI,Clover County,3:15 PM,4:15 PM,"Saturday, October 04"
BMI,Goldford,5:15 PM,6:15 PM,"Saturday, October 04"
Beatbox,The Heavy Heavy,1:45 PM,2:30 PM,"Saturday, October 04"
Beatbox,Joey Valence & Brae,3:30 PM,4:30 PM,"Saturday, October 04"
Beatbox,Riize,5:30 PM,6:30 PM,"Saturday, October 04"
Beatbox,Japanese Breakfast,7:30 PM,8:30 PM,"Saturday, October 04"
Tito's Handmade Vodka,Animal Arcade,1:00 PM,1:45 PM,"Saturday, October 04"
Tito's Handmade Vodka,Next of Kin,2:30 PM,3:30 PM,"Saturday, October 04"
Tito's Handmade Vodka,La Lom,4:30 PM,5:30 PM,"Saturday, October 04"
Tito's Handmade Vodka,LP Giobbi,6:30 PM,7:30 PM,"Saturday, October 04"
Tito's Handmade Vodka,Silent Disco,8:00 PM,10:00 PM,"Saturday, October 04"
Lady Bird,Alemeda,1:45 PM,2:30 PM,"Saturday, October 04"
Lady Bird,Yoke Lore,3:30 PM,4:30 PM,"Saturday, October 04"
Lady Bird,Magdalena Bay,5:30 PM,6:30 PM,"Saturday, October 04"
Lady Bird,Djo,7:30 PM,8:30 PM,"Saturday, October 04"
American Express,Sydney Rose,1:00 PM,1:45 PM,"Saturday, October 04"
American Express,Olivia Dean,2:30 PM,3:30 PM,"Saturday, October 04"
American Express,Marina,4:30 PM,5:30 PM,"Saturday, October 04"
American Express,Doechii,6:30 PM,7:25 PM,"Saturday, October 04"
American Express,Sabrina Carpenter,8:35 PM,10:00 PM,"Saturday, October 04"
T-Mobile,Lamont Landers,12:45 PM,1:30 PM,"Sunday, October 05"
T-Mobile,Anderson East,2:15 PM,3:15 PM,"Sunday, October 05"
T-Mobile,Rainbow Kitten Surprise,4:15 PM,5:15 PM,"Sunday, October 05"
T-Mobile,Feid,6:15 PM,7:15 PM,"Sunday, October 05"
T-Mobile,John Summit,8:15 PM,9:30 PM,"Sunday, October 05"
Miller Lite,Chezile,1:30 PM,2:15 PM,"Sunday, October 05"
Miller Lite,The Dare,3:15 PM,4:15 PM,"Sunday, October 05"
Miller Lite,Disco Lines,5:15 PM,6:15 PM,"Sunday, October 05"
Miller Lite,Polo & Pan,7:15 PM,8:15 PM,"Sunday, October 05"
BMI,Aaron Page,12:15 PM,12:45 PM,"Sunday, October 05"
BMI,Tyler Ballgame,1:30 PM,2:15 PM,"Sunday, October 05"
BMI,Chuwi,3:15 PM,4:15 PM,"Sunday, October 05"
BMI,Zinadelphia,5:15 PM,6:15 PM,"Sunday, October 05"
Beatbox,Geto Gala,1:45 PM,2:30 PM,"Sunday, October 05"
Beatbox,Lucius,3:30 PM,4:30 PM,"Sunday, October 05"
Beatbox,Wild Rivers,5:30 PM,6:30 PM,"Sunday, October 05"
Beatbox,Phantogram,7:30 PM,8:30 PM,"Sunday, October 05"
Tito's Handmade Vodka,Disciples of Christ,1:30 PM,2:15 PM,"Sunday, October 05"
Tito's Handmade Vodka,Bebe Stockwell,2:45 PM,3:30 PM,"Sunday, October 05"
Tito's Handmade Vodka,Midnight Generation,4:30 PM,5:30 PM,"Sunday, October 05"
Tito's Handmade Vodka,Passion Pit,6:30 PM,7:30 PM,"Sunday, October 05"
Tito's Handmade Vodka,Silent Disco,8:00 PM,10:00 PM,"Sunday, October 05"
Lady Bird,Flowerlove,1:45 PM,2:30 PM,"Sunday, October 05"
Lady Bird,Royal & The Serpent,3:30 PM,4:30 PM,"Sunday, October 05"
Lady Bird,Gigi Perez,5:30 PM,6:30 PM,"Sunday, October 05"
Lady Bird,MK.Gee,7:30 PM,8:30 PM,"Sunday, October 05"
American Express,"Hey, Nothing",1:00 PM,1:45 PM,"Sunday, October 05"
American Express,Haute & Freddy,2:30 PM,3:30 PM,"Sunday, October 05"
American Express,Wet Leg,4:30 PM,5:30 PM,"Sunday, October 05"
American Express,T-Pain,6:30 PM,7:30 PM,"Sunday, October 05"
American Express,The Killers,8:30 PM,10:00 PM,"Sunday, October 05"
